0,10,10,20,8,26,10,10,32,32,32,34,32,28,32,32,32,32,32,40,32,32,32,32,38,38,38,34,34,42,38,38,36,34,34,34,32,28,34,34,34,36,34,30,34,34,38,38
10,0,0,22,6,32,0,0,30,30,30,36,30,30,30,30,30,30,30,34,30,34,30,30,44,42,42,34,36,38,42,42,36,36,36,38,36,30,36,36,26,28,26,32,28,32,40,40
10,0,0,22,6,32,0,0,30,30,30,36,30,30,30,30,30,30,30,34,30,34,30,30,44,42,42,34,36,38,42,42,36,36,36,38,36,30,36,36,26,28,26,32,28,32,40,40
20,22,22,0,20,32,22,22,24,24,24,38,24,38,24,26,34,34,34,28,34,34,34,34,36,38,38,38,40,36,38,38,32,28,28,32,28,32,28,30,22,22,22,26,24,28,26,26
8,6,6,20,0,32,6,6,30,30,30,36,30,28,30,30,32,32,32,38,32,34,32,32,42,40,40,32,36,36,40,40,34,32,32,32,32,30,32,32,28,30,28,30,30,30,40,40
26,32,32,32,32,0,32,32,36,36,36,26,36,30,36,34,36,36,36,30,36,32,36,36,30,32,32,30,32,36,32,32,30,30,30,28,28,30,30,28,40,36,40,32,36,26,36,36
10,0,0,22,6,32,0,0,30,30,30,36,30,30,30,30,30,30,30,34,30,34,30,30,44,42,42,34,36,38,42,42,36,36,36,38,36,30,36,36,26,28,26,32,28,32,40,40
10,0,0,22,6,32,0,0,30,30,30,36,30,30,30,30,30,30,30,34,30,34,30,30,44,42,42,34,36,38,42,42,36,36,36,38,36,30,36,36,26,28,26,32,28,32,40,40
32,30,30,24,30,36,30,30,0,0,0,22,0,38,0,2,36,36,36,38,36,32,36,36,30,32,32,28,32,34,32,32,28,30,30,36,28,30,30,32,30,30,30,28,30,36,28,28
32,30,30,24,30,36,30,30,0,0,0,22,0,38,0,2,36,36,36,38,36,32,36,36,30,32,32,28,32,34,32,32,28,30,30,36,28,30,30,32,30,30,30,28,30,36,28,28
32,30,30,24,30,36,30,30,0,0,0,22,0,38,0,2,36,36,36,38,36,32,36,36,30,32,32,28,32,34,32,32,28,30,30,36,28,30,30,32,30,30,30,28,30,36,28,28
34,36,36,38,36,26,36,36,22,22,22,0,22,34,22,20,32,32,32,40,32,38,32,32,30,32,32,32,28,32,32,32,34,38,38,28,34,34,38,36,40,38,40,32,38,34,30,30
32,30,30,24,30,36,30,30,0,0,0,22,0,38,0,2,36,36,36,38,36,32,36,36,30,32,32,28,32,34,32,32,28,30,30,36,28,30,30,32,30,30,30,28,30,36,28,28
28,30,30,38,28,30,30,30,38,38,38,34,38,0,38,36,26,26,26,32,26,18,26,26,28,32,32,32,32,30,32,32,40,40,40,36,38,28,40,38,32,32,32,32,34,28,36,36
32,30,30,24,30,36,30,30,0,0,0,22,0,38,0,2,36,36,36,38,36,32,36,36,30,32,32,28,32,34,32,32,28,30,30,36,28,30,30,32,30,30,30,28,30,36,28,28
32,30,30,26,30,34,30,30,2,2,2,20,2,36,2,0,36,36,36,38,36,32,36,36,32,34,34,28,32,34,34,34,28,30,30,38,28,30,30,32,30,30,30,30,30,36,28,28
32,30,30,34,32,36,30,30,36,36,36,32,36,26,36,36,0,0,0,20,0,34,0,0,36,38,38,36,40,28,38,38,38,42,42,34,38,36,42,38,34,34,34,26,34,32,26,26
32,30,30,34,32,36,30,30,36,36,36,32,36,26,36,36,0,0,0,20,0,34,0,0,36,38,38,36,40,28,38,38,38,42,42,34,38,36,42,38,34,34,34,26,34,32,26,26
